Brian Hernandez | Zeus | Poodle | 7 | 39 | 11.13 | 17/04/2026 12:13 a. m.
Amelia Thomas | Zeus | Golden Retriever | 14 | 64 | 26.51 | 22/04/2026 02:13 p. m.
Nicolas Anderson | Luna | French Bulldog | 16 | 72 | 10.72 | 03/05/2026 01:00 p. m.
Mateo Thompson | Cooper | German Shepherd | 3 | 23 | 20.63 | 19/04/2026 10:44 p. m.
Benjamin Jones | Zeus | Dachshund | 18 | 80 | 8.63 | 17/04/2026 04:20 p. m.
Matthew Taylor | Bella | French Bulldog | 18 | 80 | 9.2 | 06/05/2026 10:31 a. m.
Donald Harris | Luna | Beagle | 18 | 80 | 11.69 | 27/04/2026 09:58 a. m.
BARBARA HARRIS | Bruno | Dachshund | 9 | 47 | 9.36 | 18/04/2026 10:25 p. m.
Steven White | Bruno | Dachshund | 14 | 64 | 9.01 | 05/05/2026 06:20 p. m.
Ricardo Thomas | Bella | Dachshund | 18 | 80 | 5.91 | 29/04/2026 05:28 p. m.
Martina Rodriguez | Toby | Chihuahua | 18 | 80 | 1.64 | 02/05/2026 03:02 a. m.
Michael Thompson | Coco | Golden Retriever | 4 | 27 | 21.14 | 18/04/2026 10:54 a. m.
Susan Brown | Rocky | Siberian Husky | 2 | 19 | 16.96 | 26/04/2026 01:16 a. m.
Samuel Wright | Molly | Dachshun | 17 | 76 | 8.61 | 20/04/2026 05:09 p. m.
Fernando Young | Cooper | Chihuahua | 8 | 43 | 2.51 | 11/04/2026 10:46 a. m.
Mariana Scott | Daisy | German Shepherd | 7 | 39 | 19.38 | 22/04/2026 12:06 p. m.
Lucas Perez | Bella | Beagle | 14 | 64 | 12.16 | 11/04/2026 04:07 p. m.
Santiago Wright | Toby | Poodle | 10 | 48 | 7.76 | 17/04/2026 04:14 p. m.
Mary Johnson | Daisy | Dachshund | 18 | 80 | 7.42 | 15/04/2026 03:04 a. m.
Luciana Martin | Luna | French Bulldog | 18 | 80 | 12.71 | 15/04/2026 07:45 p. m.
Mia Anderson | zeus | DACHSHUND | 12 | 56 | 5.58 | 25/04/2026 07:27 a. m.
Jason Davis | Daisy | Golden Retriever | 18 | 80 | 27.46 | 01/05/2026 03:49 a. m.
Valeria White | jack | Siberian Huski | 3 | 23 | 11.45 | 25/04/2026 08:10 a. m.
Diego Miller | Rocky | Beagle | 16 | 72 | 12.94 | 10/04/2026 03:30 p. m.
Liam Anderson | Duke | German Shepherd | 16 | 72 | 23.97 | 05/05/2026 03:13 a. m.
Susan Williams | Cooper | Golden Retriever | 18 | 80 | 26.58 | 06/05/2026 02:11 a. m.
Karen Jackson | Coco | Beagle | 6 | 35 | 11.8 | 01/05/2026 01:32 p. m.
Richard Johnson | Bella | Siberian Husky | 18 | 80 | 22.16 | 22/04/2026 02:00 p. m.
Beatriz Sanchez | Coco | German Shepherd | 13 | 60 | 22.79 | 01/05/2026 08:38 a. m.
Donald Wright | Luna | chihuahua | 18 | 80 | 1.65 | 21/04/2026 11:56 a. m.
Sofía Williams | Coco | German Shepherd | 18 | 80 | 27.85 | 29/04/2026 11:00 a. m.
Thomas Lopez | Bruno | Poodle | 1 | 13 | 5.26 | 23/04/2026 08:10 a. m.
Diego Sanchez | Zeus | Poodle | 18 | 80 | 11.88 | 15/04/2026 12:05 a. m.
Ximena Wilson | Jack | Golden Retriever | 9 | 47 | 22.85 | 27/04/2026 09:07 a. m.
Edward Rodriguez | Bruno | Poodle | 10 | 48 | 16.66 | 25/04/2026 11:16 a. m.
Daniela Thompson | Cooper | Chihuahua | 18 | 80 | 2.49 | 19/04/2026 03:08 p. m.
Linda Smith | Bella | Golden Retriever | 10 | 48 | 25.62 | 13/04/2026 06:36 p. m.
Gabriela Hernandez | Molly | Pudle | 17 | 76 | 15.78 | 20/04/2026 11:16 a. m.
Thomas Harris | Daisy | Beagle | 1 | 13 | 11.43 | 25/04/2026 02:42 p. m.
Karen Miller | Thor | BEAGLE | 18 | 80 | 13.89 | 12/04/2026 11:43 a. m.
Nancy Garcia | Luna | German Shepherd | 1 | 13 | 22.41 | 10/04/2026 12:17 a. m.
David Scott | Bruno | Beagle | 8 | 43 | 12.27 | 25/04/2026 02:16 a. m.
Mariana Lopez | Toby | Poodle | 18 | 80 | 5.14 | 22/04/2026 07:22 p. m.
Karen Martinez | Coco | Poodle | 10 | 48 | 8.75 | 02/05/2026 12:39 a. m.
Oliver Smith | Daisy | Dachshund | 18 | 80 | 4.16 | 12/04/2026 06:55 p. m.
Emma Davis | Zeus | Beagle | 11 | 52 | 8.84 | 06/05/2026 09:52 p. m.
Nancy Torres | Coco | Poodle | 18 | 80 | 18.63 | 22/04/2026 11:35 p. m.
Ronald Anderson | Rocky | Dachshund | 13 | 60 | 8.89 | 22/04/2026 05:34 p. m.
Matthew Perez | Max | Dachshun | 18 | 80 | 9.09 | 23/04/2026 05:44 a. m.
fernando martin | Molly | German Shepherd | 0 | 0 | 26.55 | 22/04/2026 07:44 p. m.
Donald Johnson | Toby | Beagle | 10 | 48 | 9.47 | 26/04/2026 01:03 p. m.
Mia Young | THOR | Golden Retriever | 18 | 80 | 26.46 | 21/04/2026 01:47 p. m.
Jason Wright | Jack | Siberian Husky | 13 | 60 | 21.75 | 26/04/2026 10:26 a. m.
Lucas Johnson | Bruno | Golden Retriever | 7 | 39 | 22.6 | 10/04/2026 04:13 a. m.
Edward Young | daisy | French Bulldog | 18 | 80 | 13.84 | 14/04/2026 10:59 p. m.
Paul Brown | Rocky | Chihuahua | 3 | 23 | 3.04 | 24/04/2026 12:12 p. m.
Sofía Rodriguez | Rocky | chihuahua | 11 | 52 | 3.12 | 19/04/2026 05:23 p. m.
Joseph Anderson | COCO | dachshund | 18 | 80 | 8.75 | 14/04/2026 02:52 a. m.
Nancy Thompson | Molly | Beagle | 18 | 80 | 8.34 | 19/04/2026 09:03 a. m.
alejandro allen | Thor | French Bulldog | 18 | 80 | 13.77 | 10/04/2026 12:00 p. m.
Lucas Scott | Coco | Beagle | 10 | 48 | 8.21 | 23/04/2026 12:31 a. m.
Edward Thompson | Zeus | Beagle | 18 | 80 | 9.93 | 17/04/2026 11:42 a. m.
Paul White | Zeus | Poodle | 13 | 60 | 8.85 | 04/05/2026 04:54 p. m.
Jason Brown | Cooper | German Shepherd | 18 | 80 | 29.53 | 23/04/2026 10:38 p. m.
CHARLOTTE THOMPSON | Bruno | Golden Retriever | 15 | 68 | 24.73 | 26/04/2026 11:53 p. m.
Daniela Johnson | Toby | Golden Retriever | 15 | 68 | 28.78 | 16/04/2026 03:16 p. m.
Joshua Harris | Max | Golden Retriever | 18 | 80 | 29.84 | 07/05/2026 01:41 a. m.
Martina Thomas | Bruno | German Shepherd | 11 | 52 | 20.11 | 03/05/2026 05:53 p. m.
Beatriz Lopez | Bella | German Shepherd | 9 | 47 | 26.17 | 16/04/2026 08:30 p. m.
Mark Rodriguez | Zeus | Golden Retriever | 4 | 27 | 26.76 | 21/04/2026 10:11 p. m.
Timothy Wright | Rocky | Beagle | 17 | 76 | 10.62 | 21/04/2026 05:44 a. m.
David Gonzalez | Bruno | Chihuahua | 18 | 80 | 3.55 | 17/04/2026 07:28 p. m.
Sarah Young | Toby | German Shepherd | 5 | 31 | 19.74 | 13/04/2026 11:39 a. m.
Sofía Gonzalez | Lola | Dachshund | 4 | 27 | 9.89 | 05/05/2026 11:29 p. m.
Brian Williams | Cooper | Chihuahua | 18 | 80 | 2.28 | 16/04/2026 10:42 a. m.
Noah Rodriguez | Coco | Beagle | 13 | 60 | 9.68 | 19/04/2026 06:19 a. m.
Kevin King | Coco | Dachshund | 2 | 19 | 4.04 | 03/05/2026 04:54 a. m.
Sarah Garcia | Duke | Beagle | 6 | 35 | 9.38 | 15/04/2026 02:17 p. m.
Karen King | Jack | beagle | 9 | 47 | 10.32 | 23/04/2026 09:57 p. m.
luciana wright | Toby | CHIHUAHUA | 18 | 80 | 3.6 | 27/04/2026 09:55 p. m.
Mary Brown | Rocky | Beaggle | 18 | 80 | 14.95 | 24/04/2026 06:10 p. m.
Ethan Allen | Max | Chihuahua | 7 | 39 | 2.09 | 23/04/2026 04:59 p. m.
William Perez | Zeus | GOLDEN RETREVIER | 13 | 60 | 29.65 | 23/04/2026 02:45 p. m.
Barbara Garcia | Coco | Golden Retriever | 18 | 80 | 20.61 | 25/04/2026 07:43 a. m.
Gabriela Garcia | Max | Siberian Husky | 8 | 43 | 24.72 | 18/04/2026 11:18 a. m.
MARTINA GARCIA | Jack | Poodle | 12 | 56 | 13.96 | 30/04/2026 07:17 p. m.
noah scott | Luna | German Shepherd | 5 | 31 | 20.93 | 14/04/2026 03:44 a. m.
Felipe Hernandez | Rocky | Begle | 18 | 80 | 14.38 | 27/04/2026 02:30 p. m.
Charlotte Gonzalez | Zeus | Poodle | 3 | 23 | 13.51 | 18/04/2026 01:00 a. m.
Jennifer Thompson | Lola | French Bulldog | 8 | 43 | 12.43 | 02/05/2026 03:30 p. m.
alejandro brown | rocky | Siberian Husky | 18 | 80 | 17.46 | 25/04/2026 09:03 p. m.
Benjamin Wright | Bruno | Chihuahua | 14 | 64 | 3.47 | 25/04/2026 10:15 p. m.
Javier Brown | Bruno | Golden Retriever | 2 | 19 | 29.57 | 13/04/2026 04:36 p. m.
Mark Anderson | Daisy | German Shepherd | 12 | 56 | 27.5 | 21/04/2026 11:27 p. m.
Elizabeth Anderson | Cooper | Dachshund | 7 | 39 | 6.41 | 17/04/2026 03:04 p. m.
liam brown | Rocky | Dachshund | 5 | 31 | 4.98 | 22/04/2026 04:41 p. m.
Matthew Lopez | Rocky | Dachshund | 16 | 72 | 5.28 | 12/04/2026 02:05 a. m.
Alejandro Martin | Zeus | Dachshund | 18 | 80 | 4.01 | 29/04/2026 09:42 a. m.
Mia Harris | Cooper | Golden Retriver | 18 | 80 | 26.81 | 19/04/2026 07:11 p. m.
Alejandro Scott | Toby | Pudle | 10 | 48 | 6.74 | 26/04/2026 09:30 p. m.
Emma Hernandez | bruno | Chihuahua | 18 | 80 | 3.51 | 20/04/2026 02:47 a. m.
Victoria Gonzalez | Lola | Beagle | 0 | 0 | 14.14 | 12/04/2026 03:46 p. m.
Ronald Davis | Lola | German Shepherd | 18 | 80 | 27.28 | 24/04/2026 04:18 a. m.
Donald Jones | Duke | Beagle | 13 | 60 | 14.79 | 07/05/2026 09:33 a. m.
Kenneth Hernandez | Zeus | German Shepherd | 7 | 39 | 23.71 | 16/04/2026 11:43 a. m.
Mia Davis | Coco | French Buldog | 18 | 80 | 12.23 | 30/04/2026 12:04 p. m.
Charlotte Lopez | Cooper | Dachshund | 18 | 80 | 7.64 | 18/04/2026 05:26 p. m.
Thomas Young | Jack | Siberian Husky | 18 | 80 | 19.34 | 05/05/2026 01:19 a. m.
Brian Brown | coco | beagle | 3 | 23 | 9.92 | 01/05/2026 03:17 a. m.
Mary Williams | Luna | Chihuahua | 16 | 72 | 1.52 | 23/04/2026 09:39 a. m.
John Martinez | Cooper | beagle | 18 | 80 | 11.46 | 11/04/2026 07:09 p. m.
BARBARA THOMAS | Luna | Beagle | 9 | 47 | 8.56 | 13/04/2026 04:02 p. m.
George King | Bruno | Dachund | 5 | 31 | 12.38 | 24/04/2026 01:03 p. m.
Robert Brown | Thor | Dachshund | 18 | 80 | 6.12 | 23/04/2026 10:34 a. m.
Christopher Jackson | Luna | French Bulldog | 5 | 31 | 10.4 | 18/04/2026 02:40 p. m.
Lisa Thompson | Zeus | German Shepherd | 6 | 35 | 19.72 | 05/05/2026 07:29 a. m.
Ethan Thompson | Bella | Dachshund | 18 | 80 | 7.85 | 03/05/2026 09:25 a. m.
lisa jones | Molly | Siberian Husky | 15 | 68 | 19.25 | 19/04/2026 06:46 a. m.
david allen | Coco | Chihuahua | 18 | 80 | 3.99 | 10/04/2026 04:01 p. m.
Samuel Hernandez | Jack | Beagle | 18 | 80 | 13.61 | 04/05/2026 02:37 a. m.
Emiliano Thompson | Bruno | French Bulldog | 18 | 80 | 11.57 | 28/04/2026 08:14 p. m.
Jennifer Lopez | Zeus | French Bulldog | 18 | 80 | 12.44 | 22/04/2026 04:00 p. m.
Sebastian King | Luna | Siberian Husky | 13 | 60 | 21.93 | 25/04/2026 08:23 p. m.
Kenneth Jones | Duke | Beagle | 5 | 31 | 12.56 | 11/04/2026 09:16 p. m.
alejandro garcia | Molly | Poodle | 8 | 43 | 6.16 | 26/04/2026 08:07 a. m.
Ronald Rodriguez | duke | german shepherd | 18 | 80 | 23.52 | 24/04/2026 02:52 p. m.
Linda Martinez | Bruno | Dachshund | 16 | 72 | 5.64 | 10/04/2026 04:20 a. m.
lisa johnson | coco | Poodle | 3 | 23 | 4.86 | 26/04/2026 12:03 p. m.
Lisa Thomas | Daisy | Chihuahua | 18 | 80 | 3.7 | 03/05/2026 09:06 a. m.
Linda Martin | Thor | Siberian Husky | 4 | 27 | 20.07 | 26/04/2026 06:21 p. m.
JOHN LOPEZ | Max | Poodle | 7 | 39 | 14.3 | 26/04/2026 02:09 p. m.
Camila Smith | Lola | Beagle | 6 | 35 | 10.77 | 29/04/2026 07:19 a. m.
Mary Thomas | bruno | Golden Retriver | 11 | 52 | 23.04 | 05/05/2026 11:36 a. m.
Joseph Rodriguez | Molly | German Shepherd | 9 | 47 | 18.91 | 18/04/2026 10:41 a. m.
Mateo Johnson | Jack | Chihuahua | 11 | 52 | 2.49 | 11/04/2026 04:05 a. m.
Donald Miller | Max | Beagle | 18 | 80 | 11.59 | 11/04/2026 04:36 a. m.
Paul Perez | Bruno | Poodle | 17 | 76 | 17.91 | 02/05/2026 07:33 a. m.
Mark Wright | Max | beagle | 12 | 56 | 11.46 | 15/04/2026 05:51 p. m.
Thomas Torres | Molly | Chihuahua | 1 | 13 | 3.44 | 26/04/2026 02:05 a. m.
Mary Harris | lola | Dachshund | 18 | 80 | 5.84 | 11/04/2026 05:46 p. m.
Gabriela Perez | Duke | German Shepherd | 18 | 80 | 19.08 | 16/04/2026 05:43 a. m.
Diego Johnson | Daisy | German Shepherd | 4 | 27 | 27.81 | 20/04/2026 02:41 a. m.
lisa jackson | LUNA | French Bulldog | 1 | 13 | 10.24 | 11/04/2026 12:32 a. m.
Edward Davis | Thor | Chihuahua | 18 | 80 | 2.23 | 12/04/2026 04:51 p. m.
Matthew Thompson | Bruno | Beagle | 1 | 13 | 8.74 | 15/04/2026 12:04 a. m.
Daniela Lopez | Zeus | Golden Retriever | 18 | 80 | 23.6 | 30/04/2026 07:50 a. m.
Joshua Williams | Bruno | Golden Retriver | 1 | 13 | 20.51 | 01/05/2026 03:22 a. m.
john brown | DAISY | Dachshund | 18 | 80 | 7.74 | 01/05/2026 10:03 p. m.
Patricia White | Thor | Poodle | 12 | 56 | 15.77 | 15/04/2026 11:22 p. m.
David Sanchez | Max | Golden Retriever | 18 | 80 | 27.57 | 03/05/2026 11:07 p. m.
Valeria Allen | Max | French Bulldog | 12 | 56 | 13.86 | 17/04/2026 11:33 a. m.
Ethan Taylor | Daisy | Chihuahua | 18 | 80 | 2.86 | 17/04/2026 07:16 p. m.
Amelia Martin | Bella | German Shepherd | 7 | 39 | 19.2 | 25/04/2026 07:22 a. m.
George Torres | Jack | Dachshund | 18 | 80 | 7.62 | 04/05/2026 10:57 a. m.
Linda Williams | Rocky | Chihuahua | 7 | 39 | 2.93 | 11/04/2026 11:20 p. m.
Alejandro Gonzalez | Toby | French Bulldog | 17 | 76 | 12.99 | 10/04/2026 07:01 p. m.
Amelia Davis | BELLA | French Bulldog | 13 | 60 | 9.8 | 29/04/2026 08:44 p. m.
Elizabeth Hernandez | Max | Chihuahua | 7 | 39 | 3.25 | 28/04/2026 01:17 a. m.
Emma Martinez | Cooper | Pudle | 18 | 80 | 16.84 | 12/04/2026 03:13 p. m.
Karen Jones | Jack | French Bulldog | 10 | 48 | 11.13 | 15/04/2026 05:11 a. m.
Jason King | Jack | French Bulldog | 14 | 64 | 11.46 | 20/04/2026 11:17 p. m.
Brian Martin | Bruno | FRENCH BULLDOG | 18 | 80 | 12.57 | 11/04/2026 04:23 a. m.
Thomas Perez | duke | Poodle | 18 | 80 | 4.33 | 15/04/2026 01:05 p. m.
Mia Perez | Toby | Poodle | 11 | 52 | 14.44 | 25/04/2026 06:00 a. m.
Joseph Sanchez | Zeus | Dachshun | 5 | 31 | 19.8 | 24/04/2026 08:21 a. m.
Ximena Young | Thor | Beagle | 18 | 80 | 12.49 | 15/04/2026 03:24 p. m.
Emma Wright | Molly | Chiuahua | 18 | 80 | 8.02 | 25/04/2026 04:03 p. m.
Sarah Wright | Toby | French Buldog | 9 | 47 | 8.85 | 04/05/2026 02:20 a. m.
Mariana Thompson | Zeus | French Bulldog | 13 | 60 | 10.8 | 23/04/2026 08:24 p. m.
Mateo Smith | Thor | Beagle | 18 | 80 | 14.99 | 23/04/2026 10:48 p. m.
Liam White | Daisy | Siberian Husky | 18 | 80 | 16.92 | 15/04/2026 08:45 p. m.
Ximena Gonzalez | Jack | Beagle | 17 | 76 | 9.75 | 11/04/2026 01:49 p. m.
Jessica Davis | Daisy | Beagle | 10 | 48 | 12.02 | 03/05/2026 12:02 p. m.
Felipe Johnson | Daisy | German Shepherd | 18 | 80 | 20.61 | 17/04/2026 04:58 a. m.
Richard Thompson | Daisy | Siberian Husky | 15 | 68 | 16.19 | 17/04/2026 06:18 p. m.
Samuel Perez | Duke | Beagle | 7 | 39 | 8.66 | 21/04/2026 02:35 p. m.
Emiliano Young | Molly | Chihuahua | 13 | 60 | 1.81 | 05/05/2026 12:55 p. m.
Ethan Torres | zeus | Golden Retriever | 7 | 39 | 28.75 | 02/05/2026 03:38 p. m.
Paul Wilson | Zeus | Golden Retriever | 3 | 23 | 20.43 | 21/04/2026 10:11 p. m.
Beatriz Anderson | Zeus | Beaggle | 18 | 80 | 9.09 | 14/04/2026 06:50 a. m.
Karen Garcia | Thor | German Shepherd | 12 | 56 | 22.19 | 11/04/2026 04:47 a. m.
Christopher Wright | Duke | German Shepherd | 9 | 47 | 20.73 | 25/04/2026 11:43 p. m.
Harper White | Jack | Poodle | 18 | 80 | 12.65 | 13/04/2026 03:43 a. m.
Kevin Gonzalez | Luna | Begle | 9 | 47 | 10.85 | 19/04/2026 05:57 a. m.
Lisa Martinez | Bruno | German Shepherd | 18 | 80 | 19.14 | 29/04/2026 09:47 a. m.
Isabella Martinez | Rocky | Golden Retriever | 4 | 27 | 20.55 | 11/04/2026 06:51 p. m.
Beatriz Miller | Cooper | Chihuahua | 17 | 76 | 2.14 | 02/05/2026 02:33 a. m.
Lisa Sanchez | Molly | German Shepart | 18 | 80 | 5.47 | 24/04/2026 03:00 p. m.
Valeria Anderson | Coco | Chihuahua | 15 | 68 | 2.52 | 18/04/2026 10:57 p. m.
Richard Thomas | Bruno | Chihuahua | 18 | 80 | 3.04 | 26/04/2026 01:59 p. m.
Mary Jackson | Thor | Poodle | 18 | 80 | 10.21 | 27/04/2026 05:10 a. m.
Harper Smith | Max | Dachshund | 18 | 80 | 4.22 | 23/04/2026 06:02 a. m.
Mark King | Bruno | Poodle | 16 | 72 | 3.73 | 27/04/2026 10:02 p. m.
Diego Garcia | Jack | Poodle | 18 | 80 | 6.81 | 03/05/2026 06:06 a. m.
Brian Gonzalez | bruno | Poodle | 2 | 19 | 14.18 | 07/05/2026 04:27 a. m.
Isabella Thompson | Molly | Chihuahua | 11 | 52 | 2.24 | 13/04/2026 11:28 p. m.
Matias Torres | rocky | German Shepherd | 0 | 0 | 26.38 | 02/05/2026 10:48 p. m.
John King | Coco | Golden Retrevier | 16 | 72 | 28.62 | 13/04/2026 05:01 a. m.
charlotte king | Lola | Chihuahua | 14 | 64 | 1.9 | 16/04/2026 01:23 a. m.
Mary Thompson | Jack | Chihuaua | 6 | 35 | 9.24 | 27/04/2026 11:35 a. m.
Sofía Scott | Daisy | Beagle | 18 | 80 | 14.94 | 14/04/2026 07:12 p. m.
Ethan Rodriguez | Luna | Chihuahua | 3 | 23 | 1.62 | 17/04/2026 11:05 a. m.
Alejandro Wilson | Rocky | poodle | 18 | 80 | 16.98 | 03/05/2026 02:37 a. m.
Leonardo Allen | Jack | German Shepherd | 18 | 80 | 18.91 | 27/04/2026 05:35 p. m.
Fernando Jackson | Duke | Golden Retriever | 14 | 64 | 23.24 | 13/04/2026 05:21 a. m.
Liam Miller | Rocky | Chihuahua | 18 | 80 | 2.5 | 23/04/2026 06:47 p. m.
Donald Garcia | Cooper | German Shepart | 8 | 43 | 7.21 | 01/05/2026 04:04 p. m.
Ximena Allen | Rocky | Gold Retiever | 14 | 64 | 10.69 | 05/05/2026 01:49 p. m.
Mark Perez | Molly | Siberian Husky | 4 | 27 | 26.3 | 22/04/2026 10:59 p. m.
Matias Young | daisy | Poodle | 18 | 80 | 14.95 | 23/04/2026 03:28 a. m.
James Rodriguez | Lola | Dachshun | 17 | 76 | 8.33 | 07/05/2026 09:43 a. m.
Ethan Gonzalez | Max | Beagle | 14 | 64 | 11.35 | 14/04/2026 05:56 p. m.
emiliano rodriguez | Luna | German Shepherd | 18 | 80 | 23.03 | 15/04/2026 01:55 a. m.
Joshua Garcia | Bella | German Shepart | 3 | 23 | 18.67 | 23/04/2026 03:40 p. m.
Daniela Harris | Coco | DACHSHUND | 18 | 80 | 9.3 | 05/05/2026 02:56 a. m.
Sofía Taylor | Max | Beagle | 1 | 13 | 13.18 | 11/04/2026 10:53 p. m.
Barbara King | Lola | French Bulldog | 18 | 80 | 11.41 | 29/04/2026 06:28 p. m.
Lucas Lopez | Luna | Dachshund | 18 | 80 | 4.12 | 13/04/2026 08:39 a. m.
Mateo Sanchez | Cooper | Poodle | 6 | 35 | 18.36 | 02/05/2026 06:04 a. m.
Mary Martinez | Toby | Chihuahua | 18 | 80 | 1.55 | 20/04/2026 01:17 p. m.
mark martinez | Bella | Golden Retriever | 12 | 56 | 24.87 | 19/04/2026 07:55 a. m.
Ximena Perez | Bruno | Golden Retriever | 18 | 80 | 20.49 | 17/04/2026 05:56 a. m.
Brian Jones | Jack | Chihuahua | 1 | 13 | 3.58 | 06/05/2026 02:00 a. m.
Jessica Wilson | Jack | Poodle | 18 | 80 | 9.29 | 05/05/2026 02:12 a. m.
Brian Wright | bruno | CHIHUAUA | 18 | 80 | 12.9 | 19/04/2026 01:31 a. m.
Barbara Martin | Lola | Chihuaua | 1 | 13 | 14.01 | 19/04/2026 05:06 a. m.
Harper Davis | Luna | Chihuahua | 18 | 80 | 3.15 | 27/04/2026 05:33 p. m.
Valeria Wright | Bella | Chihuaua | 9 | 47 | 6.65 | 12/04/2026 09:32 p. m.
ximena thomas | Daisy | Chihuahua | 18 | 80 | 3.52 | 18/04/2026 04:42 a. m.
Jessica Scott | Thor | German Shepart | 18 | 80 | 9.7 | 12/04/2026 04:49 p. m.
Thomas Anderson | Thor | Golden Retriever | 18 | 80 | 28.39 | 24/04/2026 07:51 p. m.
Jessica Perez | Molly | French Bulldog | 18 | 80 | 10.18 | 17/04/2026 10:37 a. m.
Emma Harris | Rocky | French Bulldog | 7 | 39 | 10.62 | 29/04/2026 10:45 a. m.
Daniela Jackson | Bruno | Beagle | 18 | 80 | 8.18 | 02/05/2026 11:43 a. m.
Nancy Harris | Duke | Dachshund | 17 | 76 | 8.23 | 19/04/2026 07:38 a. m.
nicolas taylor | Bruno | Golden Retriever | 3 | 23 | 22.86 | 04/05/2026 11:05 p. m.
Jennifer Scott | lola | Siberian Husky | 10 | 48 | 17.33 | 15/04/2026 12:05 p. m.
Samuel Taylor | Zeus | Beagle | 4 | 27 | 14.68 | 20/04/2026 06:48 p. m.
Leonardo Miller | Rocky | Chihuahua | 18 | 80 | 1.68 | 17/04/2026 10:57 a. m.
Alejandro White | Cooper | Chihuahua | 18 | 80 | 3.45 | 17/04/2026 06:59 a. m.
Steven Perez | cooper | Poodle | 11 | 52 | 4.97 | 13/04/2026 09:43 a. m.
Kenneth Taylor | Rocky | Poodle | 18 | 80 | 19.29 | 18/04/2026 10:32 p. m.
Kenneth Smith | Thor | Golden Retriever | 18 | 80 | 27.63 | 27/04/2026 12:19 a. m.
Amelia Torres | Duke | GERMAN SHEPART | 14 | 64 | 18.37 | 20/04/2026 11:42 p. m.
Liam Thomas | Luna | Dashchund | 7 | 39 | 15.3 | 24/04/2026 09:59 p. m.
DIEGO MARTINEZ | Lola | Chihuahua | 6 | 35 | 2.57 | 19/04/2026 08:56 a. m.
nicolas torres | Coco | Beagle | 0 | 0 | 10.81 | 03/05/2026 06:20 a. m.
Beatriz Johnson | Bella | Chihuaua | 4 | 27 | 12.08 | 26/04/2026 12:58 p. m.
BEATRIZ BROWN | coco | Beagle | 18 | 80 | 10.92 | 13/04/2026 01:17 a. m.
Sebastian Wright | Molly | Poodle | 0 | 0 | 7.06 | 11/04/2026 06:38 p. m.
Susan Sanchez | max | French Bull dog | 8 | 43 | 9.7 | 06/05/2026 07:34 p. m.
Javier Wright | toby | German Shepherd | 0 | 0 | 23.74 | 30/04/2026 03:31 p. m.
Sebastian Garcia | Rocky | Siberian Husky | 8 | 43 | 21.5 | 21/04/2026 01:08 p. m.
sebastian martinez | Jack | German Shepherd | 12 | 56 | 20.77 | 06/05/2026 04:15 a. m.
John Jones | Rocky | Dachshund | 10 | 48 | 9.51 | 14/04/2026 01:12 a. m.
Mark Hernandez | Luna | Chihuahua | 18 | 80 | 1.79 | 26/04/2026 10:24 a. m.
Richard Jones | Rocky | German Shepherd | 13 | 60 | 20.47 | 23/04/2026 11:22 a. m.
Karen Gonzalez | Daisy | POODLE | 6 | 35 | 19.02 | 21/04/2026 09:38 p. m.
thomas brown | Daisy | Chihuahua | 4 | 27 | 3.59 | 05/05/2026 10:05 a. m.
Mark Sanchez | Duke | Pudle | 18 | 80 | 5.75 | 20/04/2026 03:36 p. m.
William Smith | Thor | Golden Retriever | 18 | 80 | 23.27 | 05/05/2026 11:42 a. m.
Alejandro Young | Max | Chihuahua | 18 | 80 | 1.73 | 29/04/2026 08:46 a. m.
Mary Rodriguez | Max | Siberian Husky | 7 | 39 | 19.45 | 18/04/2026 05:11 p. m.
joshua perez | Zeus | Beagle | 18 | 80 | 12.04 | 15/04/2026 03:11 a. m.
Nicolas Davis | rocky | Poodle | 18 | 80 | 5.65 | 19/04/2026 03:28 a. m.
Charlotte Garcia | Bella | Siberian Husky | 1 | 13 | 19.53 | 30/04/2026 04:57 a. m.
Emiliano Perez | Coco | German Shepherd | 12 | 56 | 29.3 | 21/04/2026 07:18 a. m.
Mary White | Luna | Dachshun | 18 | 80 | 15.64 | 03/05/2026 05:48 a. m.
Valeria Taylor | Zeus | Dachshund | 18 | 80 | 9.38 | 04/05/2026 06:55 a. m.
Charlotte Rodriguez | Thor | Chihuahua | 12 | 56 | 1.61 | 25/04/2026 08:40 a. m.
Mia Taylor | Cooper | dachshund | 18 | 80 | 4.14 | 16/04/2026 04:40 a. m.
Amelia Taylor | Zeus | French Bulldog | 18 | 80 | 8.56 | 23/04/2026 09:14 p. m.
Emma Williams | Daisy | German Sheperd | 14 | 64 | 17.51 | 11/04/2026 11:27 p. m.
Mariana Gonzalez | Jack | Chihuahua | 11 | 52 | 3.87 | 10/04/2026 04:12 p. m.
Nicolas Garcia | Duke | Dachshund | 17 | 76 | 9.25 | 18/04/2026 01:42 a. m.
sarah torres | Lola | Beagle | 10 | 48 | 9.2 | 12/04/2026 05:29 a. m.
camila jackson | Cooper | FRENCH BULLDOG | 8 | 43 | 12.18 | 19/04/2026 04:03 a. m.
ADELA KING | Jack | Beagle | 9 | 47 | 9.65 | 19/04/2026 03:53 a. m.
Joseph Brown | Cooper | Poodle | 16 | 72 | 4.43 | 06/05/2026 12:13 a. m.
Ricardo Perez | Zeus | Dachshund | 18 | 80 | 9.66 | 24/04/2026 01:14 a. m.
